SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å),Reference
C[n+]1c(/C=C2/C=C(/C=C/c3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CCO,560,703,143,0.0604,73600,4.866877814,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccccc21,C(Cl)(Cl)Cl,596,705,110,0.0634,75700,4.87909588,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CO,554,698,144,0.0421,75500,4.877946952,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(CCCCCC(=O)O)c4ccccc34)CC(C)(C)C2)sc2ccccc21,C(Cl)(Cl)Cl,608,715,107,0.054,80100,4.903632516,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(CCCCCC(=O)O)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CS(=O)C,558,716,158,0.0648,45000,4.653212514,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(CCCCCC(=O)O)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CCO,577,710,133,0.078,74600,4.872738827,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(CCCCCC(=O)O)c4ccccc34)CC(C)(C)C2)sc2ccccc21,O,493,697,204,0.0109,47000,4.672097858,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(CCCCCC(=O)O)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CC(=O)C,561,708,147,0.0596,67000,4.826074803,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(/C=C/c3cn(CCCCCC(=O)O)c4ccccc34)CC(C)(C)C2)sc2ccccc21,CO,569,710,141,0.0565,75300,4.876794976,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(C=Cc3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccc3ccccc3c21,CC(=O)C,548,712,164,0.0132,60500,4.781755375,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(C=Cc3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccc3ccccc3c21,CCO,553,714,161,0.0155,75400,4.877371346,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(C=Cc3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccc3ccccc3c21,C(Cl)(Cl)Cl,578,715,137,0.0206,74700,4.873320602,https://doi.org/10.1016/j.dyepig.2021.109182
C[n+]1c(/C=C2/C=C(C=Cc3cn(Cc4ccccc4)c4ccccc34)CC(C)(C)C2)sc2ccc3ccccc3c21,CO,546,709,163,0.0111,76300,4.882524538,https://doi.org/10.1016/j.dyepig.2021.109182
