SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å)
[NH2+]=c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,530,570,40,,,
[NH2+]=c1ccc2c(-c3ccc(-c4ccccc4)cc3)c3ccc(O)cc3oc-2c1,O,500,535,35,,,
[NH2+]=c1ccc2c(-c3ccc(C4OCCCO4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,540,585,45,,,
[NH2+]=c1ccc2c(-c3ccc(CN4CCC5(CC4)OCCO5)cc3)c3ccc(N4CCCCC4)cc3oc-2c1,O,535,570,35,,,
[NH2+]=c1ccc2c(-c3ccc(CN4CCCCC4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,540,565,25,,,
[NH2+]=c1ccc2c(-c3ccc(F)cc3)c3ccc(N4CCCCC4)cc3oc-2c1,O,535,575,40,,,
[NH2+]=c1ccc2c(-c3ccc(Oc4ccccc4)cc3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,532,570,38,,,
[NH2+]=c1ccc2c(-c3ccc4c(c3)OCO4)c3c(cc4n3CCCCCC=C4)oc-2c1,O,535,575,40,,,
[NH2+]=c1ccc2c(-c3ccc4c(c3)OCO4)c3ccc(O)cc3oc-2c1,O,500,530,30,,,
[NH2+]=c1ccc2c(-c3ccc4ccccc4c3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,535,575,40,,,
[NH2+]=c1ccc2c(-c3ccc4ccccc4c3)c3ccc(O)cc3oc-2c1,O,500,530,30,,,
[NH2+]=c1ccc2c(-c3cccc(Cl)c3)c3ccc(N4CCCCC4)cc3oc-2c1,O,540,575,35,,,
[NH2+]=c1ccc2c(-c3cccc(CN4CCCCC4)c3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,540,565,25,,,
[NH2+]=c1ccc2c(-c3cccc(CN4CCOCC4)c3)c3c(cc4n3CCCCCC=C4)oc-2c1,O,535,560,25,,,
[NH2+]=c1ccc2c(-c3cccc(F)c3)c3ccc(N4CCCCC4)cc3oc-2c1,O,540,575,35,,,
[NH2+]=c1ccc2c(-c3ccccc3)c3ccc(N4CCCCC4)cc3oc-2c1,O,535,575,40,,,
[NH3+]C(Cc1c[nH]c2ccccc12)C(=O)[O-],O,277,350,73,0.15,5358,3.729
[NH3+]c1cc([NH3+])cc(-c2[nH+]c3ccccc3s2)c1,O,328,460,132,0.008,19364,4.287
[NH3+]c1cc([NH3+])cc(-c2nc3ccccc3s2)c1,O,315,402,87,0.011,17640,4.2465
[NH3+]c1ccc2c(c1)Cc1ccccc1-2,O,299,314,15,,8511,3.93
[NH3+]c1ccc2ccc([O-])cc2c1,O,,425,,,,
[NH3+]c1ccc2ccc(O)cc2c1,O,328,357,29,,,
[NH3+]Cc1ccc2c(c1)c1cccc3cnc2n31,CO,424,467,43,0.43,,
[O-][Cl+3]([O-])([O-])[O-],CC(=O)C,602,,,,28000,4.4472
[O-][N+]([O-])=C1C=CC(=C/N=N\c2nc3ccccc3c3ccccc23)C=C1,CCO,,,,,29512,4.47
[O-][N+](=Cc1c2ccccc2nc2c(F)c(F)c(F)c(F)c12)c1ccccc1,CCO,,,,,95499,4.98
[O-][N+]1=C(Cc2ccccc2)C(c2ccccc2)CN(Cc2ccccc2)C1,CCO,,,,,10000,4
[O-][N+]1=C(Cc2ccccc2)C(c2ccccc2)CN(Cc2ccccc2)C1c1ccccc1,CCO,,,,,10000,4
[O-][n+]1c(/C=C/c2cc3cccc4c5cccc6cccc(c(c2)c34)c65)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,470,575,105,0.04,29000,4.4624
[O-][n+]1c(/C=C/c2ccc(/C=C/c3ccccc3)cc2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,406,531,125,0.04,10000,4
[O-][n+]1c(/C=C/c2ccc3ccccc3c2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,400,546,146,0.05,10000,4
[O-][n+]1c(/C=C/c2ccccc2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,400,535,135,0.21,4400,3.6435
[O-][n+]1c(/C=C/c2cccs2)nc(N2CCOCC2)c2c1CCCC2,C(Cl)Cl,400,534,134,0.006,4000,3.6021
[O-][n+]1c(C(c2ccccc2)c2ccccc2)c2ccccc2c2ccccc21,CCO,,,,,15136,4.18
[O-][n+]1c(-c2ccc(Br)cc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,C(Cl)Cl,445,548,103,0.15,3700,3.5682
[O-][n+]1c(-c2ccccc2)cc(N2CCOCC2)nc1/C=C/c1ccccc1,C(Cl)Cl,445,548,103,0.2,4200,3.6232
[O-][n+]1c2ccccc2c(O)c2cc(Cl)ccc21,CO,,,,,6607,3.82
[O-][n+]1cc2ccccc2c2ccccc21,CCO,,,,,13490,4.13
[O-][s+]1c2ccc(-c3c4ccccc4cc4ccccc34)cc2c2cc(-c3c4ccccc4cc4ccccc34)ccc21,CC#N,,508,,0.14,,
[O-][s+]1c2ccccc2c2cc(-c3c4ccccc4cc4ccccc34)ccc21,CC#N,,504,,0.13,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C(Cl)Cl,702,,,,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C(Cl)(Cl)Cl,731,,,,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CC1CCCO1,783,,,,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,CCOC(=O)C,750,,,,,
[O-]c1c(-c2ccccc2)cc(-[n+]2c(-c3ccccc3)cc(-c3ccccc3)cc2-c2ccccc2)cc1-c1ccccc1,C1=CC=NC=C1,706,,,,,
[O-]c1c(-c2ccccc2)sc(-c2ccccc2)[n+]1-c1ccc(C(c2ccc(-[n+]3c(-c4ccccc4)sc(-c4ccccc4)c3[O-])cc2)c2ccc(-[n+]3c(-c4ccccc4)sc(-c4ccccc4)c3[O-])cc2)cc1,C(Cl)(Cl)Cl,,,,,46773,4.67
[O-]c1c(-c2ccccc2)sc(-c2ccccc2)[n+]1-c1ccc(Cc2ccc(-[n+]3c(-c4ccccc4)sc(-c4ccccc4)c3[O-])cc2)cc1,C(Cl)(Cl)Cl,,,,,30903,4.49
[O-]c1c(-c2nc3ccccc3s2)cc2ccc3cccc4ccc1c2c34,CC#N,514,554,40,,,
[O-]c1ccc(Br)cc1C=Nc1cccc2ccc(-c3nc4ccccc4[nH]3)nc12,CC1=CC=CC=C1,318,,,,,
[O-]c1ccc2ccccc2c1,O,346,414,68,,,
[O]c1cccc2c1C(=O)c1c([O-])cccc1C2=O,O,,,,,8300,3.9191
[O]c1cccc2c1C(=O)c1cccc([O-])c1C2=O,O,,,,,10500,4.0212
[O-]c1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1[O-],C1CCOC1,380,490,110,,,
[O-]c1ccccc1C=Nc1cccc2ccc(-c3nc4ccccc4[nH]3)nc12,CC1=CC=CC=C1,318,,,,,
[O-]c1ccccc1-c1[nH+]c2c3ccccc3c3ccccc3c2o1,CC1=CC=CC=C1,,495,,0.111,,
[O-]c1ccccc1-c1[nH+]c2c3cccnc3c3ncccc3c2n1-c1ccccc1,CC1=CC=CC=C1,,484,,0.125,,
[SiH2-2],CC(=O)C,448,,,,,
B1C=Cc2c(ccc3ccccc23)N1,C1CCCCC1,345,348,3,0.79,28990,4.4622
B1C=Cc2cc3c(cc2N1)C=CBN3,C1CCCCC1,357,403,46,0.38,28010,4.4473
B1C=Cc2cc3ccccc3cc2N1,C1CCCCC1,359,403,44,0.38,27860,4.445
B1C=Cc2ccc3ccccc3c2N1,C1CCCCC1,352,354,2,0.56,28410,4.4535
B1Nc2ccccc2-c2ccccc21,C1CCCCC1,326,327,1,,30670,4.4867
Br/C=C/c1c2nc(c(-c3ccccc3)c3ccc(cc4nc(c(-c5ccccc5)c5ccc1[nH]5)C=C4)[nH]3)C=C2,C1CCOC1,,,,,457088,5.66
BrC(Br)=Cc1cc2[nH]c1c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c(-c3ccccc3)c3nc(c2-c2ccccc2)C=C3)C=C1,CC#N,,,,,119673,5.078
BrC1=C(Br)C2=C(c3ccc(Br)cc3)c3c(Br)c(Br)c4n3[Zn+2]n3c(c(Br)c(Br)c3=C(c3ccc(Br)cc3)C3=NC(=C4c4ccc(Br)cc4)C(Br)=C3Br)=C(c3ccc(Br)cc3)C1=N2,C(Cl)(Cl)Cl,,,,,263027,5.42
BrC1=C(Br)C2=C(c3ccc(Br)cc3)c3ccc4n3[Zn+2]n3c(ccc3=C(c3ccc(Br)cc3)C3=NC(=C4c4ccc(Br)cc4)C(Br)=C3Br)=C(c3ccc(Br)cc3)C1=N2,C(Cl)(Cl)Cl,,,,,323594,5.51
BrC1=C(Br)C2=C(c3ccc(Br)s3)c3c(Br)c(Br)c4n3[Zn+2]n3c(c(Br)c(Br)c3=C(c3ccc(Br)s3)C3=NC(=C4c4ccc(Br)s4)C(Br)=C3Br)=C(c3ccc(Br)s3)C1=N2,C(Cl)Cl,,,,,295121,5.47
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Ag+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,C1CCOC1,,,,,110500,5.0434
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Co+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,C(Cl)(Cl)Cl,,,,,165959,5.22
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Co+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(c4ccccc4)=C3c3ccccc3)=C(c3ccccc3)C1=N2,C(Cl)Cl,,,,,104713,5.02
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Ni+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,C(Cl)Cl,,,,,281838,5.45
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Ni+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(c4ccccc4)=C3c3ccccc3)=C(c3ccccc3)C1=N2,C(Cl)Cl,,,,,151356,5.18
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Pd+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,C(Cl)Cl,,,,,199526,5.3
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Pd+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,C(Cl)(Cl)Cl,,,,,218776,5.34
BrC1=C(Br)C2=C(c3ccccc3)c3c(Br)c(Br)c4n3[Zn+2]n3c(c(Br)c(Br)c3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(c4ccccc4)=C3c3ccccc3)=C(c3ccccc3)C1=N2,C(Cl)Cl,,,,,117490,5.07
BrC1=C(Br)C2=C(c3ccccc3)c3ccc4n3[Cd+2]n3c(ccc3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,CN(C)C=O,,,,,169824,5.23
BrC1=C(Br)C2=C(c3ccccc3)c3ccc4n3[Pd+2]n3c(ccc3=C(c3ccccc3)C3=NC(=C4c4ccccc4)C(Br)=C3Br)=C(c3ccccc3)C1=N2,C(Cl)(Cl)Cl,,,,,173780,5.24
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[n-]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[n-]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,CC#N,,,,,199526,5.3
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,CCN(CC)CC,,,,,162181,5.21
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,C(Cl)(Cl)Cl,,,,,223872,5.35
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,C1=CC=C(C(=C1)Cl)Cl,,,,,181970,5.26
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,CCOC(=O)C,,,,,162181,5.21
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,CC#N,,,,,177828,5.25
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,CC1=CC=CC=C1,,,,,177828,5.25
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,CN(C)C=O,,,,,125893,5.1
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(Br)c1Br)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,C(Cl)Cl,,,,,154882,5.19
BrC1=C(Br)c2nc1c(-c1ccccc1)c1[nH]c(c(-c3ccccc3)c3nc(c(-c4ccccc4)c4[nH]c(c2-c2ccccc2)c(-c2ccccc2)c4-c2ccccc2)C(Br)=C3Br)c(-c2ccccc2)c1-c1ccccc1,C(Cl)Cl,,,,,147911,5.17
BrC1=C(Br)c2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3[nH]c(c(Br)c3Br)c2-c2ccccc2)C(Br)=C1Br,C(Cl)Cl,,,,,171000,5.233
BrC1=C(Br)c2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C(Br)=C1Br,C(Cl)Cl,,,,,245469,5.39
BrC1=C(Br)c2nc1c(-c1ccccc1)c1ccc([nH]1)c(-c1ccccc1)c1nc(c(-c3ccccc3)c3ccc([nH]3)c2-c2ccccc2)C(Br)=C1Br,CN(C)C=O,,,,,181970,5.26
