SMILES,Solvent,Ex (nm),Em (nm),ST (nm),QY,¦Å (cm-1M-1),Log(¦Å),Reference
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3cc4c(cc3[o+]c2c1)N(CC)C1CCCCC1N4CC,CC#N,582,667,85,0.25,75800,4.879669206,https://doi.org/10.1016/j.cclet.2021.06.038
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,C(Cl)Cl,558,587,29,,,,https://doi.org/10.1016/j.optlastec.2020.106868
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CO,,590,,,,,https://doi.org/10.1016/j.jlumin.2015.09.002
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,553,567,14,0.7,76370,4.882922791,https://doi.org/10.1039/d2sc03833a
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCOC(=O)C,557,585,28,,,,https://doi.org/10.1016/j.optlastec.2020.106868
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CN(C)C=O,560,588,28,0.42,,,https://doi.org/10.1016/j.jlumin.2013.07.066
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,O,554,573,19,0.31,106000,5.025305865,https://doi.org/10.1039/c5sc04014k
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,552,565,13,0.65,104400,5.018700499,https://doi.org/10.1021/acs.joc.1c02135
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC1=CC=CC=C1,,585,,,,,https://doi.org/10.1016/j.jlumin.2015.09.002
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)cc(-c3ccc(Br)cc3)[o+]c2c1,CO,524,626,103,0.015,12875,4.109747238,https://doi.org/10.1016/j.tetlet.2015.08.074
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)cc(-c3ccc(Cl)cc3)[o+]c2c1,CO,523,627,104,0.012,7505,3.875350697,https://doi.org/10.1016/j.tetlet.2015.08.074
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)cc(-c3ccc(F)cc3)[o+]c2c1,CO,519,631,112,0.024,10280,4.011993115,https://doi.org/10.1016/j.tetlet.2015.08.074
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)cc(-c3ccc(I)cc3)[o+]c2c1,CO,524,649,125,0.022,24175,4.383366483,https://doi.org/10.1016/j.tetlet.2015.08.074
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)cc(-c3ccccc3)[o+]c2c1,CO,518,638,121,0.023,17900,4.252853031,https://doi.org/10.1016/j.tetlet.2015.08.074
CCN(CC)c1ccc2c(-c3ccccc3C)c3ccc(=[N+](CC)CC)cc-3oc2c1,CCO,555,572,17,0.48,106900,5.028977705,https://doi.org/10.1021/acs.joc.1c02135
CCN(CC)c1ccc2c(-c3ccccc3C3=NCCO3)c3ccc(=[N+](CC)CC)cc-3oc2c1,O,555,584,29,,,,https://doi.org/10.1002/cmtd.202000068
CCN(CC)c1ccc2c(-c3cccs3)c3ccc(=[N+](CC)CC)cc-3oc2c1,O,570,595,25,0.3,73000,4.86332286,https://doi.org/10.1016/j.dyepig.2024.112182
CCN(CC)c1ccc2c(-c3cnn(-c4ccccc4)c3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,559,584,25,0.3,114000,5.056904851,https://doi.org/10.1016/j.dyepig.2005.09.026
CCN(CC)c1ccc2c(-c3cnn(-c4ccccc4)c3N)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,553,572,19,0.005,102000,5.008600172,https://doi.org/10.1016/j.dyepig.2005.09.026
CCN(CC)c1ccc2c(-c3cnoc3)c3ccc(=[N+](CC)CC)cc-3oc2c1,CC#N,570,596,26,0.19,85000,4.929418926,https://doi.org/10.1016/j.dyepig.2005.09.026
CCN(CC)c1ccc2c(ccc3c(-c4ccc(N(C)C)cc4O)c4ccc(=[N+](C)C)cc-4oc32)c1,C(Cl)Cl,610,668,58,0.019,24273,4.385123456,https://doi.org/10.1016/j.dyepig.2022.110152
