SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
Cc1ccc[n+](C(=C\C=C2\Sc3ccccc3N2C)/C=C/c2sc3ccccc3[n+]2C)c1,CO,613,643,0.078,218000,30,5.338456494,55.4,0.608,0.904,0.605,0.545
CC(=O)N1CCN(C2=C(/C=C/c3sc4ccccc4[n+]3Cc3ccccc3)CC(C(C)(C)C)C/C2=C\C=C2/Sc3ccccc3N2Cc2ccccc2)CC1,CO,726,810,,,84,,55.4,0.608,0.904,0.605,0.545
CCN1C(=O)C(=C/C=C2/Sc3ccccc3N2CC)C(=O)N(CC)C1=S,C(Cl)Cl,506,532,,,26,,40.7,0.761,0.769,0.04,0.178
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccccc4C3(C)C)=C2c2c(C)cccc2C)C(C)(C)c2ccccc21,O,758,786,0.2,271000,28,5.432969291,63.1,0.681,0.997,1.062,0.025
CN1/C(=C\C=C\c2sc3ccccc3[n+]2C)C(C)(C)c2ccccc21,CS(=O)C,549,,,116500,,5.066325925,45.1,0.83,1,0.072,0.647
C1=CN(c2ccccc2)c2ccccc2/C1=C/C1=Nc2cccc3cccc1c23,CC1=CC=CC=C1,583,,,32100,,4.506505032,33.9,0.782,0.284,0,0.128
CC1(C)C(/C=C/C2=C(Cl)/C(=C/C=C3/N(CCCCS(=O)(=O)[O-])c4ccc5ccccc5c4C3(C)C)CCC2)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CO,820,836,,,16,,55.4,0.608,0.904,0.605,0.545
CCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CC)c4ccccc4C3(C)C)=C2c2c3ccccc3cc3ccccc23)C(C)(C)c2ccccc21,O,766,796,0.14,265000,30,5.423245874,63.1,0.681,0.997,1.062,0.025
C[N+]1=C(/C=C/c2c(O)c(O)c(/C=C/C3=[N+](C)c4ccccc4C3(C)C)c3ccccc23)C(C)(C)c2ccccc21,C(Cl)Cl,619,663,0.005,,44,,40.7,0.761,0.769,0.04,0.178
CCCN1/C(=C/C=C2\CCCC(/C=C/C3=[N+](CCC)c4ccccc4C3(C)C)=C2Oc2ccccc2)C(C)(C)c2ccccc21,CCO,771,,0.027,276000,,5.440909082,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c3c(c(=O)oc2c1)C=C1C2=[N+](CCC1O3)c1ccccc1C2(C)C,C(Cl)Cl,613,645,1,95000,32,4.977723605,40.7,0.761,0.769,0.04,0.178
CC1(C)C(/C=C/C=C/C=C/C=C2/N(Cc3ccccc3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)=[N+](Cc2ccccc2)c2ccc(S(=O)(=O)[O-])cc21,O,748,771,0.28,104000,23,5.017033339,63.1,0.681,0.997,1.062,0.025
CN1/C(=C/C=C/C(=C/C=C/C2=[N+](C)c3ccc4ccccc4c3C2(C)C)C(=O)[O-])C(C)(C)c2c1ccc1ccccc21,CO,786,819,0.048,224500,33,5.351216345,55.4,0.608,0.904,0.605,0.545
C[n+]1c(C=C2C=CN(CCCc3ccccc3)c3ccccc32)sc2ccccc21,O,507,,,51000,,4.707570176,63.1,0.681,0.997,1.062,0.025
CN1/C(=C/C=C/C(=C/C=C/C2=[N+](C)c3ccccc3C2(C)C)C(=O)[O-])C(C)(C)c2ccccc21,CO,749,774,0.132,242000,25,5.383815366,55.4,0.608,0.904,0.605,0.545
C[N+]1=C(/C=C/C2=C3Oc4c(cc(F)c(N5CCC[C@H]5CO)c4F)C=C3CCC2)C(C)(C)c2ccccc21,CCO,702,738,0.03,24000,36,4.380211242,51.9,0.633,0.783,0.4,0.658
CN1/C(=C/C=C/C2=Nc3ccc([N+](=O)[O-])cc3C2(C)C)C(C)(C)c2cc([N+](=O)[O-])ccc21,CCO,505,,,,,,51.9,0.633,0.783,0.4,0.658
CCC[n+]1c(/C=C/C=C/Nc2ccc3c(c2)CN2CN3Cc3c2ccc2c(C)cc(=O)oc32)sc2ccccc21,O,521,564,,,43,,63.1,0.681,0.997,1.062,0.025
CC1(CCCC(=O)O)/C(=C/C=C/C2=C3C=C4C(CS(=O)(=O)[O-])=CC(C)(C)N(CCCS(=O)(=O)[O-])C4=[O+]C3CC(c3ccccc3)=C2)N(CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)[O-])cc21,CCO,675,710,0.15,,35,,51.9,0.633,0.783,0.4,0.658
CC1=CC(=Cc2sc3ccccc3[n+]2C)C=C(C)N1Nc1ccccc1,CN(C)C=O,446,,,,,,43.2,0.759,0.977,0.031,0.613
CC1(C)C(/C=C/C=C/C(=C/C=C2/N(CCCCS(=O)(=O)O)c3ccccc3C2(C)C)OC(=O)c2ccccc2)=[N+](CCCCS(=O)(=O)[O-])c2ccccc21,O,748,784,0.0728,190000,36,5.278753601,63.1,0.681,0.997,1.062,0.025
C[N+]1=C(/C=C/C=C2/N(CCCc3ccccc3)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CS(=O)C,553,567,0.08,115000,14,5.06069784,45.1,0.83,1,0.072,0.647
C[n+]1c(/C=C/c2ccco2)cccc1/C=C/c1ccco1,O,416,513,,,98,,63.1,0.681,0.997,1.062,0.025
CN1/C(=C\C=C\C=C\C=C\C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CCO,742,,0.054,231000,,5.36361198,51.9,0.633,0.783,0.4,0.658
CCN1C(=O)C(=C/C=c2/c3cccc4cccc(c43)n2Cc2ccccc2)C(=O)N(CC)C1=S,CCO,623,671,0.005,,48,,51.9,0.633,0.783,0.4,0.658
Cc1ccc[n+](C(=C\C=C2\Sc3ccccc3N2Cc2ccc([N+](=O)[O-])cc2)/C=C/c2sc3ccccc3[n+]2Cc2ccc([N+](=O)[O-])cc2)c1,CO,627,650,0.024,44000,23,4.643452676,55.4,0.608,0.904,0.605,0.545
CN1/C(=C(C=O)\C=C\C2=[N+](C)c3ccccc3C2(C)C)C(C)(C)c2ccccc21,CO,493,,,37900,,4.57863921,55.4,0.608,0.904,0.605,0.545
CC1(C)C(/C=C/C=C/C=C/C=C2/N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)[O-])c2ccc3ccccc3c21,CO,784,815,0.06,228000,31,5.357934847,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc(-c2oc3cc4c(cc3c(=O)c2O)N(C)/C(=C/C=C/C=C/C=C/C2=[N+](CCC[N+](C)(C)C)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C4(C)C)cc1,CO,753,783,,123200,30,5.090610708,55.4,0.608,0.904,0.605,0.545
CC1(C)C(/C=C/C2=C3Oc4cc(Oc5ccc([N+](=O)[O-])c6nonc56)ccc4C=C3CCC2)=[N+](CCCCS(=O)(=O)O)c2ccccc21,O,593,702,,,109,,63.1,0.681,0.997,1.062,0.025
