SMILES,Solvent,AM,EM,QY,AC,ST,LGAC,Et30,SP,SdP,SA,SB
CCN(CC)c1ccc2c(c1)Oc1c(ccc3c1ccc1c(C)cc(=O)oc13)C21OC(=O)c2ccccc21,CN(C)C=O,568,614,,1160,46,3.064457989,43.2,0.759,0.977,0.031,0.613
CCN(CC)c1ccc2c(c1)Oc1c(ccc3c1ccc1c(C)cc(=O)oc13)C21OC(=O)c2ccccc21,CO,562,607,,41400,45,4.617000341,55.4,0.608,0.904,0.605,0.545
CCN(CC)c1ccc2c(c1)Oc1c(ccc3c1ccc1c(C)cc(=O)oc13)C21OC(=O)c2ccccc21,C(Cl)Cl,568,605,,53600,37,4.72916479,40.7,0.761,0.769,0.04,0.178
CCN(CC)c1ccc2c(c1)Oc1c(ccc3c1ccc1c(C)cc(=O)oc13)C21OC(=O)c2ccccc21,CC(=O)C,563,610,,38800,47,4.588831726,42.2,0.651,0.907,0,0.475
CCN(CC)c1ccc2c(c1)Oc1c(ccc3c1ccc1c(C)cc(=O)oc13)C21OC(=O)c2ccccc21,O,565,618,,25800,53,4.411619706,63.1,0.681,0.997,1.062,0.025
CCN(CC)c1ccc2c(c1)Oc1c(ccc3c1ccc1c(C)cc(=O)oc13)C21OC(=O)c2ccccc21,CCO,562,608,,43800,46,4.641474111,51.9,0.633,0.783,0.4,0.658
CN(C)c1ccc2c(c1)CC1=CC(=[N+](C)C)C=CC1=C2/C=C/C=C1/C=Cc2ccccc2N1C,CC#N,585,,,45100,,4.654176542,45.6,0.645,0.974,0.044,0.286
O=C([O-])c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,CCO,500,525,0.95,96700,25,4.985426474,51.9,0.633,0.783,0.4,0.658
C[Si]1(C)C2=CC(=[N+]3CCC3)C=CC2=C(c2ccccc2C(=O)O)c2ccc(N3CCC3)cc21,O,646,664,,,18,,63.1,0.681,0.997,1.062,0.025
CN(C(=O)C(F)(F)F)C1=c2cc3c4c(c2[Si](C)(C)c2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,O,711,724,0.04,,13,,63.1,0.681,0.997,1.062,0.025
CN(C(=O)C(F)(F)F)C1=c2cc3c4c(c2[Si](C)(C)c2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CCO,713,728,0.27,90600,15,4.957128198,51.9,0.633,0.783,0.4,0.658
CN(C(=O)C(F)(F)F)C1=c2cc3c4c(c2[Si](C)(C)c2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,C(Cl)Cl,715,730,0.32,87400,15,4.941511433,40.7,0.761,0.769,0.04,0.178
CN(C(=O)C(F)(F)F)C1=c2cc3c4c(c2[Si](C)(C)c2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CC#N,711,726,0.21,95300,15,4.979092901,45.6,0.645,0.974,0.044,0.286
C/[NH+]=c1/ccc2c(ccc3c(-c4ccccc4)c4ccc(N(C)C)cc4sc32)c1,CO,641,715,0.47,65000,74,4.812913357,55.4,0.608,0.904,0.605,0.545
COc1cccc(OC)c1C1=C2C=CC(=[N+]3CCCC3)C=C2P(=O)(c2ccccc2)c2cc(C)ccc21,O,706,737,0.16,56000,31,4.748188027,63.1,0.681,0.997,1.062,0.025
COC(=O)CCCCOc1ccc(-c2c3ccc(=O)cc-3oc3cc(O)ccc23)c(C)c1,O,491,510,,,19,,63.1,0.681,0.997,1.062,0.025
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)c3c([o+]c2c1)/C(=C/c1ccc(N(C)C)s1)CCC3,C(Cl)Cl,733,766,0.04,175894,33,5.245251025,40.7,0.761,0.769,0.04,0.178
CN(CCCC(=O)O)c1ccc2c(c1)C(C)(C)C1=CC(=[N+](C)C)C=CC1=C2,CCO,608,630,0.7,,22,,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c(/C=C/c3ccc(N(C)C)cc3)c3ccccc3[o+]c2c1,CC#N,663,,,45000,,4.653212514,45.6,0.645,0.974,0.044,0.286
CCc1ccccc1C1=C2C=CC(=[N+]3CCCC3)C=C2P(=O)(c2ccccc2)c2cc(N(C)C)ccc21,O,703,729,0.28,72000,26,4.857332496,63.1,0.681,0.997,1.062,0.025
CCOC(=O)c1ccccc1C1=c2cc/c(=C3/C(c4ccccc4)=C(C)c4cccc[n+]43)cc2Oc2cc(-c3c(C)c(-c4ccccc4)c4ccccn34)ccc21,CC1=CC=CC=C1,917,1057,,,140,,33.9,0.782,0.284,0,0.128
C[N+](C)=C1C=CC2=Cc3cc4c(cc3C(C)(C)C2=C1)N(CCCC(=O)O)C4,CCO,617,641,0.78,,24,,51.9,0.633,0.783,0.4,0.658
Cc1cccc(C)c1C1=C2C=CC(=O)C=C2P(=O)(c2ccccc2)c2cc(N(C)C)ccc21,O,632,655,0.26,63970,23,4.805976351,63.1,0.681,0.997,1.062,0.025
CCN(CC)c1ccc2c(c1)OC1=C(/C=C/C3=[N+](C)c4ccccc4C3(C)C)CCCC1=C2c1ccccc1C(=O)O,CO,700,732,0.42,134501,32,5.128725513,55.4,0.608,0.904,0.605,0.545
CCN(CC)c1ccc2c(c1)OC1=C(/C=C/C3=[N+](C)c4ccccc4C3(C)C)CCCC1=C2c1ccccc1C(=O)O,O,704,737,0.17,122560,33,5.088348752,63.1,0.681,0.997,1.062,0.025
CCN(CC)c1ccc2c(c1)OC1=C(/C=C/C3=[N+](C)c4ccccc4C3(C)C)CCCC1=C2c1ccccc1C(=O)O,CC#N,708,738,0.29,,30,,45.6,0.645,0.974,0.044,0.286
CCN(CC)c1ccc2c(c1)OC1=C(/C=C/C3=[N+](C)c4ccccc4C3(C)C)CCCC1=C2c1ccccc1C(=O)O,CCO,700,731,0.41,139500,31,5.144574208,51.9,0.633,0.783,0.4,0.658
CCN(CC)c1ccc2c(c1)OC1=C(/C=C/C3=[N+](C)c4ccccc4C3(C)C)CCCC1=C2c1ccccc1C(=O)O,C(Cl)(Cl)Cl,716,738,0.53,135892,22,5.13319389,39.1,0.783,0.614,0.047,0.071
C#CCCS(=O)(=O)N=C1c2ccc(N(C)C)cc2[Si](C)(C)c2cc(N(C)C)ccc21,CO,452,617,0.43,8600,165,3.934498451,55.4,0.608,0.904,0.605,0.545
CCN(CC)c1ccc2c(-c3ccccc3C(=O)O)cc(-c3ccc(I)cc3)[o+]c2c1,CO,524,649,0.022,24175,125,4.383366483,55.4,0.608,0.904,0.605,0.545
CN(C)c1ccc2c(-c3cc(C(=O)[O-])c(C(=O)[O-])cc3C(=O)[O-])c3ccc(=[N+](C)C)cc-3oc2c1,CCO,539,566,0.54,,27,,51.9,0.633,0.783,0.4,0.658
CCCCN(CCCC)c1ccc2c(-c3ccccc3C(=O)O)c3oc4ccccc4c3[o+]c2c1,CO,481,652,0.016,20661,171,4.315151338,55.4,0.608,0.904,0.605,0.545
CCN(CC)c1ccc2c(c1)OC(=C1C=CC(=[N+](CC)CC)C=C1)C=C2c1ccccc1C(=O)O,O,598,648,,,50,,63.1,0.681,0.997,1.062,0.025
CCN(CC)c1ccc2c(c1)Oc1ccccc1/C2=C\C=C\C1=[N+](C)c2ccccc2C1(C)C,CC#N,673,,,73000,,4.86332286,45.6,0.645,0.974,0.044,0.286
CCN(CC)c1ccc2c(c1)P(C)(=O)C1=C/C(=[N+](/C)CC)C=CC1=C2c1c(C)cc(C)cc1C,O,696,713,0.15,68000,17,4.832508913,63.1,0.681,0.997,1.062,0.025
